From,To,Lag,P_value,Value,Causal,Type
X2,X4,1,0.003728729244806364,0.13026172294254232,True,Lag1
X6,X5,0,0.004035569520178996,-0.12928435658005907,True,Simultaneous
X5,X6,0,0.004035569520178996,-0.12928435658005907,True,Simultaneous
X3,X1,2,0.005093625537889443,0.12596993876770785,True,Lag2
X1,X4,2,0.016530163498781822,0.10791372347992606,True,Lag2
X4,X4,1,0.019742474412223095,-0.1049685224163496,True,Lag1
X6,X6,2,0.040389067779481196,0.09235305522792532,True,Lag2
X1,X1,2,0.043126638293004886,0.09112970730053245,True,Lag2
X6,X2,0,0.08445801692166895,-0.07770820595258447,False,Simultaneous
X2,X6,0,0.08445801692166895,-0.07770820595258447,False,Simultaneous
X6,X4,1,0.10470898166652934,0.07315883043296725,False,Lag1
X2,X1,0,0.12318326071449466,0.06952032318980658,False,Simultaneous
X1,X2,0,0.12318326071449466,0.06952032318980658,False,Simultaneous
X3,X2,1,0.13875280565135883,-0.06670344081050485,False,Lag1
X5,X2,1,0.15397353202051417,-0.06417373933589879,False,Lag1
X3,X1,0,0.19041154512661626,-0.05906917072921002,False,Simultaneous
X1,X3,0,0.19041154512661626,-0.05906917072921002,False,Simultaneous
X1,X4,1,0.19740619110878357,0.05815107085138159,False,Lag1
X4,X4,2,0.20043108057202322,-0.057820254716780366,False,Lag2
X4,X5,2,0.20946258664839007,-0.05656520330148969,False,Lag2
X2,X2,1,0.2113650751075025,0.056330134789129044,False,Lag1
X3,X4,1,0.23210916463104597,-0.05397021710007115,False,Lag1
X4,X3,0,0.23240486896419596,0.05393610115389156,False,Simultaneous
X3,X4,0,0.23240486896419596,0.05393610115389156,False,Simultaneous
X5,X1,0,0.23460851870221147,-0.05362815225522212,False,Simultaneous
X1,X5,0,0.23460851870221147,-0.05362815225522212,False,Simultaneous
X4,X2,1,0.2445496215002221,-0.05250709483966866,False,Lag1
X6,X6,1,0.25639780539519885,0.051264080339218476,False,Lag1
X6,X3,0,0.26314218082483787,-0.050544516489561306,False,Simultaneous
X3,X6,0,0.26314218082483787,-0.050544516489561306,False,Simultaneous
X2,X3,1,0.27589380397535307,-0.04916779072368478,False,Lag1
X3,X5,1,0.30610745703179315,0.04618533521365978,False,Lag1
X3,X2,2,0.3101451754269409,0.04580185837391255,False,Lag2
X1,X5,1,0.3131611504928986,0.045517559861409373,False,Lag1
X1,X2,1,0.317031297552672,0.04510945037850807,False,Lag1
X5,X4,1,0.318621320069287,-0.04500739570398179,False,Lag1
X1,X6,2,0.35104129538100703,0.042132063945538326,False,Lag2
X3,X5,2,0.3931767392480139,0.03853993722363763,False,Lag2
X4,X1,1,0.39600284195935775,-0.0383494978655171,False,Lag1
X5,X2,2,0.4019304408985407,-0.03779370419591654,False,Lag2
X6,X4,2,0.4262751012154071,0.03594744452698477,False,Lag2
X6,X1,0,0.42908428233894236,-0.03572969546268098,False,Simultaneous
X1,X6,0,0.42908428233894236,-0.03572969546268098,False,Simultaneous
X5,X6,1,0.4473506234360247,0.034298438525919,False,Lag1
X2,X3,2,0.45660000115248167,-0.033604493653744294,False,Lag2
X4,X2,0,0.47746999467960904,-0.03203434994445238,False,Simultaneous
X2,X4,0,0.47746999467960904,-0.03203434994445238,False,Simultaneous
X2,X4,2,0.5004201007285161,-0.03041791903911364,False,Lag2
X1,X1,1,0.5010241952330243,0.03040606062610349,False,Lag1
X1,X3,2,0.5116897067777098,0.029653103343852454,False,Lag2
X3,X3,1,0.5210452908797114,0.028999324309329732,False,Lag1
X2,X6,1,0.5301529836856212,0.02833971148729377,False,Lag1
