From,To,Lag,P_value,Correlation,Causal,Type,strength,strength_level
X3,X2,0,0.0,0.9902817130770044,True,Simultaneous,0.9902817130770044,极强
X2,X3,0,0.0,0.9902817130770044,True,Simultaneous,0.9902817130770044,极强
X5,X4,0,0.0,0.9542662518980082,True,Simultaneous,0.9542662518980082,极强
X4,X5,0,0.0,0.9542662518980082,True,Simultaneous,0.9542662518980082,极强
X4,X2,0,0.0,0.885930031953346,True,Simultaneous,0.885930031953346,极强
X2,X4,0,0.0,0.885930031953346,True,Simultaneous,0.885930031953346,极强
X4,X3,0,0.0,0.871849268729446,True,Simultaneous,0.871849268729446,极强
X3,X4,0,0.0,0.871849268729446,True,Simultaneous,0.871849268729446,极强
X5,X3,0,0.0,0.7737326174201908,True,Simultaneous,0.7737326174201908,极强
X3,X5,0,0.0,0.7737326174201908,True,Simultaneous,0.7737326174201908,极强
