Source,Target,Weight,Lag,P_value
X2,X1,0.3115488333944394,1,0.024
X2,X3,0.9902817130770044,0,0.0
X2,X4,0.4756609284232619,2,0.0
X2,X5,0.7586979643956643,0,0.0
X2,X7,0.3440367953350641,2,0.014
X2,X6,0.3122222835607505,0,0.024
X1,X2,0.4269490140048704,0,0.0
X1,X3,0.3344271772044133,2,0.018
X1,X4,0.3311840125560393,2,0.018
X1,X5,0.3272803267577103,2,0.018
X1,X6,0.343490394910278,3,0.014
X1,X7,0.3424800928023842,0,0.014
X3,X1,0.3264661435455878,3,0.018
X3,X2,0.9902817130770044,0,0.0
X3,X4,0.871849268729446,0,0.0
X3,X5,0.7737326174201908,0,0.0
X3,X7,0.3520887010112626,2,0.01
X4,X1,0.3636343356298253,3,0.006
X4,X2,0.885930031953346,0,0.0
X4,X3,0.871849268729446,0,0.0
X4,X4,0.4193263818289282,2,0.0
X4,X5,0.3561693091211187,1,0.01
X4,X6,0.3002693441685548,0,0.032
X5,X1,0.3165907296369537,1,0.02
X5,X2,0.7586979643956643,0,0.0
X5,X3,0.7737326174201908,0,0.0
X5,X4,0.3130672312740786,2,0.022
X5,X6,0.3031441150835279,3,0.032
X5,X5,0.3088130083296235,1,0.026
X6,X1,0.5283737766019454,2,0.0
X6,X7,0.4165615048723579,0,0.0
X6,X5,0.3755778947282841,0,0.004
X6,X3,0.3310034097484887,3,0.018
X6,X6,0.3276448312670391,3,0.018
X6,X2,0.3122222835607505,0,0.024
X6,X4,0.3002693441685548,0,0.032
X7,X1,0.3424800928023842,0,0.014
X7,X2,0.4055251149161516,1,0.0
X7,X4,0.4281347218853795,2,0.0
X7,X5,0.4466139774859466,2,0.0
X7,X6,0.4165615048723579,0,0.0
X7,X3,0.3657854285557722,2,0.006
X7,X7,0.3033527435915195,1,0.032
