method,lag_setting,sample_size,predicted_lag_edges,truth_lag_edges,TP,FP,FN,Precision,Recall,F1,Hits,False_Positive_Edges,Missed_Truth_Edges,source_file
FGES,2,500,2,3,0,2,3,0.0,0.0,0.0,-,X1->X3(L2); X4->X2(L1),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_fges\B1C\Gaussian\6variable\lag2\n500\fges_significant_links.csv
GPDC,2,500,3,3,1,2,2,0.3333,0.3333,0.3333,X1->X4(L2),X2->X4(L1); X3->X1(L2),X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data\B1C\6variable\lag2\n500\pcmci_significant_links.csv
Granger,2,500,4,3,0,4,3,0.0,0.0,0.0,-,X1->X3(L2); X4->X1(L2); X4->X2(L1); X4->X2(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_granger\B1C\Gaussian\6variable\lag2\n500\granger_significant_links.csv
KernelGranger,2,500,4,3,0,4,3,0.0,0.0,0.0,-,X2->X2(L2); X2->X5(L1); X3->X1(L1); X5->X5(L1),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_kernel_granger\B1C\Gaussian\6variable\lag2\n500\kernel_granger_significant_links.csv
LPCMCI,2,500,2,3,0,2,3,0.0,0.0,0.0,-,X2->X6(L1); X5->X3(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_lpcmci\B1C\Gaussian\6variable\lag2\n500\lpcmci_significant_links.csv
PC,2,500,4,3,0,4,3,0.0,0.0,0.0,-,X1->X3(L2); X4->X2(L1); X4->X4(L1); X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_pc\B1C\Gaussian\6variable\lag2\n500\pc_significant_links.csv
ParCorr,2,500,6,3,1,5,2,0.1667,0.3333,0.2222,X1->X4(L2),X1->X1(L2); X2->X4(L1); X3->X1(L2); X4->X4(L1); X6->X6(L2),X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\ParCorr\6variable\lag2\n500\pcmci_significant_links.csv
FGES,2,1000,1,3,0,1,3,0.0,0.0,0.0,-,X1->X1(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_fges\B1C\Gaussian\6variable\lag2\n1000\fges_significant_links.csv
GPDC,2,1000,4,3,0,4,3,0.0,0.0,0.0,-,X1->X1(L2); X3->X1(L1); X3->X1(L2); X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data\B1C\6variable\lag2\n1000\pcmci_significant_links.csv
Granger,2,1000,2,3,0,2,3,0.0,0.0,0.0,-,X2->X5(L1); X4->X2(L1),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_granger\B1C\Gaussian\6variable\lag2\n1000\granger_significant_links.csv
KernelGranger,2,1000,1,3,0,1,3,0.0,0.0,0.0,-,X5->X5(L1),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_kernel_granger\B1C\Gaussian\6variable\lag2\n1000\kernel_granger_significant_links.csv
LPCMCI,2,1000,2,3,0,2,3,0.0,0.0,0.0,-,X5->X4(L1); X6->X5(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_lpcmci\B1C\Gaussian\6variable\lag2\n1000\lpcmci_significant_links.csv
PC,2,1000,4,3,0,4,3,0.0,0.0,0.0,-,X1->X1(L2); X2->X5(L1); X4->X2(L1); X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_pc\B1C\Gaussian\6variable\lag2\n1000\pc_significant_links.csv
ParCorr,2,1000,5,3,0,5,3,0.0,0.0,0.0,-,X1->X1(L2); X2->X4(L1); X4->X5(L2); X5->X2(L1); X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\ParCorr\6variable\lag2\n1000\pcmci_significant_links.csv
FGES,2,3000,0,3,0,0,3,0.0,0.0,0.0,-,-,X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_fges\B1C\Gaussian\6variable\lag2\n3000\fges_significant_links.csv
GPDC,2,3000,3,3,0,3,3,0.0,0.0,0.0,-,X2->X5(L2); X5->X6(L1); X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data\B1C\6variable\lag2\n3000\pcmci_significant_links.csv
Granger,2,3000,0,3,0,0,3,0.0,0.0,0.0,-,-,X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_granger\B1C\Gaussian\6variable\lag2\n3000\granger_significant_links.csv
KernelGranger,2,3000,1,3,0,1,3,0.0,0.0,0.0,-,X4->X1(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_kernel_granger\B1C\Gaussian\6variable\lag2\n3000\kernel_granger_significant_links.csv
LPCMCI,2,3000,2,3,0,2,3,0.0,0.0,0.0,-,X2->X4(L1); X5->X1(L1),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_lpcmci\B1C\Gaussian\6variable\lag2\n3000\lpcmci_significant_links.csv
PC,2,3000,1,3,0,1,3,0.0,0.0,0.0,-,X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_pc\B1C\Gaussian\6variable\lag2\n3000\pc_significant_links.csv
ParCorr,2,3000,1,3,0,1,3,0.0,0.0,0.0,-,X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\ParCorr\6variable\lag2\n3000\pcmci_significant_links.csv
FGES,3,500,2,4,0,2,4,0.0,0.0,0.0,-,X1->X3(L2); X4->X2(L1),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_fges\B1C\Gaussian\6variable\lag3\n500\fges_significant_links.csv
GPDC,3,500,3,4,1,2,3,0.3333,0.25,0.2857,X1->X4(L2),X2->X4(L1); X3->X1(L2),X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data\B1C\6variable\lag3\n500\pcmci_significant_links.csv
Granger,3,500,6,4,0,6,4,0.0,0.0,0.0,-,X1->X3(L2); X1->X3(L3); X4->X1(L2); X4->X2(L1); X4->X2(L2); X4->X2(L3),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_granger\B1C\Gaussian\6variable\lag3\n500\granger_significant_links.csv
KernelGranger,3,500,4,4,0,4,4,0.0,0.0,0.0,-,X3->X4(L1); X5->X1(L1); X5->X3(L2); X6->X2(L3),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_kernel_granger\B1C\Gaussian\6variable\lag3\n500\kernel_granger_significant_links.csv
LPCMCI,3,500,1,4,0,1,4,0.0,0.0,0.0,-,X2->X6(L1),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_lpcmci\B1C\Gaussian\6variable\lag3\n500\lpcmci_significant_links.csv
PC,3,500,5,4,0,5,4,0.0,0.0,0.0,-,X1->X3(L2); X4->X1(L2); X4->X2(L1); X4->X4(L1); X6->X6(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_pc\B1C\Gaussian\6variable\lag3\n500\pc_significant_links.csv
ParCorr,3,500,5,4,1,4,3,0.2,0.25,0.2222,X1->X4(L2),X2->X4(L1); X3->X1(L2); X4->X4(L1); X6->X6(L2),X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\ParCorr\6variable\lag3\n500\pcmci_significant_links.csv
FGES,3,1000,1,4,0,1,4,0.0,0.0,0.0,-,X1->X1(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_fges\B1C\Gaussian\6variable\lag3\n1000\fges_significant_links.csv
GPDC,3,1000,6,4,1,5,3,0.1667,0.25,0.2,X2->X3(L3),X1->X1(L2); X3->X1(L1); X3->X1(L2); X5->X4(L3); X6->X6(L2),X1->X4(L2); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data\B1C\6variable\lag3\n1000\pcmci_significant_links.csv
Granger,3,1000,2,4,0,2,4,0.0,0.0,0.0,-,X2->X5(L1); X4->X2(L1),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_granger\B1C\Gaussian\6variable\lag3\n1000\granger_significant_links.csv
KernelGranger,3,1000,5,4,0,5,4,0.0,0.0,0.0,-,X2->X4(L2); X2->X5(L2); X3->X4(L2); X3->X4(L3); X6->X2(L1),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_kernel_granger\B1C\Gaussian\6variable\lag3\n1000\kernel_granger_significant_links.csv
LPCMCI,3,1000,2,4,0,2,4,0.0,0.0,0.0,-,X5->X4(L1); X6->X5(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_lpcmci\B1C\Gaussian\6variable\lag3\n1000\lpcmci_significant_links.csv
PC,3,1000,5,4,0,5,4,0.0,0.0,0.0,-,X1->X1(L2); X2->X5(L1); X4->X2(L1); X4->X5(L3); X6->X6(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_pc\B1C\Gaussian\6variable\lag3\n1000\pc_significant_links.csv
ParCorr,3,1000,6,4,0,6,4,0.0,0.0,0.0,-,X1->X1(L2); X2->X4(L1); X4->X5(L2); X5->X2(L1); X5->X4(L3); X6->X6(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\ParCorr\6variable\lag3\n1000\pcmci_significant_links.csv
FGES,3,3000,0,4,0,0,4,0.0,0.0,0.0,-,-,X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_fges\B1C\Gaussian\6variable\lag3\n3000\fges_significant_links.csv
GPDC,3,3000,3,4,0,3,4,0.0,0.0,0.0,-,X2->X2(L3); X5->X4(L3); X6->X6(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data\B1C\6variable\lag3\n3000\pcmci_significant_links.csv
Granger,3,3000,0,4,0,0,4,0.0,0.0,0.0,-,-,X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_granger\B1C\Gaussian\6variable\lag3\n3000\granger_significant_links.csv
KernelGranger,3,3000,5,4,0,5,4,0.0,0.0,0.0,-,X1->X4(L1); X3->X1(L2); X5->X1(L2); X5->X2(L2); X6->X4(L1),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_kernel_granger\B1C\Gaussian\6variable\lag3\n3000\kernel_granger_significant_links.csv
LPCMCI,3,3000,2,4,0,2,4,0.0,0.0,0.0,-,X2->X4(L1); X5->X1(L1),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_lpcmci\B1C\Gaussian\6variable\lag3\n3000\lpcmci_significant_links.csv
PC,3,3000,1,4,0,1,4,0.0,0.0,0.0,-,X6->X6(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\run_data_pc\B1C\Gaussian\6variable\lag3\n3000\pc_significant_links.csv
ParCorr,3,3000,1,4,0,1,4,0.0,0.0,0.0,-,X6->X6(L2),X1->X4(L2); X2->X3(L3); X3->X2(L1); X4->X5(L1),C:\Users\86187\Desktop\毕设\新版\ParCorr\6variable\lag3\n3000\pcmci_significant_links.csv
