From,To,Lag,P_value,Correlation,Causal,Type
X3,X1,2,0.0,0.15561686333720828,True,Lag2
X6,X5,0,0.02,0.12427860107434265,True,Simultaneous
X5,X6,0,0.02,0.12427860107434265,True,Simultaneous
X1,X4,2,0.042,0.10882792061596054,True,Lag2
X2,X4,1,0.042,0.10833148818854578,True,Lag1
X1,X1,2,0.052,0.10580239187642874,False,Lag2
X2,X1,0,0.054,0.10534447867971594,False,Simultaneous
X1,X2,0,0.054,0.10534447867971594,False,Simultaneous
X6,X6,1,0.066,0.10226828978079427,False,Lag1
X3,X1,0,0.076,0.09870712510379849,False,Simultaneous
X1,X3,0,0.076,0.09870712510379849,False,Simultaneous
X2,X1,2,0.094,0.09454781834118597,False,Lag2
X5,X1,2,0.096,0.09432142118858476,False,Lag2
X4,X4,1,0.102,0.09381598021537828,False,Lag1
X4,X2,1,0.12,0.09114088067770353,False,Lag1
X6,X4,1,0.122,0.09070292132530665,False,Lag1
X5,X1,0,0.148,0.08818022477750043,False,Simultaneous
X5,X2,2,0.148,0.08817608061484987,False,Lag2
X1,X5,0,0.148,0.08818022477750043,False,Simultaneous
X5,X4,1,0.16,0.08701337758871157,False,Lag1
X6,X3,0,0.17,0.08577045084501231,False,Simultaneous
X3,X6,0,0.17,0.08577045084501231,False,Simultaneous
X6,X1,0,0.174,0.0851233494110944,False,Simultaneous
X1,X6,0,0.174,0.0851233494110944,False,Simultaneous
X2,X2,1,0.18,0.0843099548552035,False,Lag1
X1,X4,1,0.184,0.08385189457585034,False,Lag1
X6,X1,1,0.206,0.08243774185803196,False,Lag1
X6,X6,2,0.222,0.08145262893505005,False,Lag2
X4,X5,2,0.242,0.08062700150641001,False,Lag2
X6,X4,0,0.25,0.08011778311283067,False,Simultaneous
X4,X6,0,0.25,0.08011778311283067,False,Simultaneous
X1,X3,2,0.254,0.0799507005258921,False,Lag2
X4,X4,2,0.266,0.07902802059998446,False,Lag2
X6,X2,0,0.276,0.07871630725232089,False,Simultaneous
X2,X6,0,0.276,0.07871630725232089,False,Simultaneous
X5,X3,1,0.28,0.07842242861692168,False,Lag1
X3,X5,1,0.284,0.07795936851958074,False,Lag1
X6,X3,1,0.292,0.07759361567540377,False,Lag1
X1,X2,1,0.302,0.07641248059709313,False,Lag1
X3,X2,1,0.302,0.07625508647309416,False,Lag1
X2,X3,2,0.302,0.0764650646549382,False,Lag2
X2,X3,1,0.324,0.07518760506226159,False,Lag1
X5,X4,0,0.346,0.0736750591058371,False,Simultaneous
X4,X5,0,0.346,0.0736750591058371,False,Simultaneous
X4,X1,2,0.356,0.0731872069348106,False,Lag2
X5,X6,1,0.406,0.07128416908276938,False,Lag1
X4,X3,0,0.42,0.07007062438118418,False,Simultaneous
X3,X4,0,0.42,0.07007062438118418,False,Simultaneous
X1,X5,1,0.43,0.06981782067009054,False,Lag1
X6,X2,2,0.438,0.06944275219413357,False,Lag2
X6,X4,2,0.448,0.06858804025709117,False,Lag2
X1,X6,1,0.474,0.06794964210275489,False,Lag1
X6,X3,2,0.49,0.06771465458568836,False,Lag2
X3,X4,1,0.492,0.06745407996372972,False,Lag1
X6,X2,1,0.494,0.06738384252558856,False,Lag1
X2,X4,2,0.504,0.06697925443503654,False,Lag2
X5,X5,2,0.524,0.06636829138932004,False,Lag2
X3,X3,1,0.532,0.06618009455436599,False,Lag1
X3,X1,1,0.534,0.06591407896619626,False,Lag1
X1,X6,2,0.558,0.06530411074306061,False,Lag2
X5,X2,1,0.594,0.0634393884516911,False,Lag1
X4,X6,2,0.596,0.06330862180799637,False,Lag2
X2,X1,1,0.6,0.06285798869342309,False,Lag1
X2,X6,2,0.6,0.0629467565916245,False,Lag2
X4,X1,1,0.62,0.06215613635851237,False,Lag1
