From,To,Lag,P_value,Correlation,Causal,Type
X3,X1,2,0.002,0.15436260820606343,True,Lag2
X6,X5,0,0.008,0.1287180779946147,True,Simultaneous
X5,X6,0,0.008,0.1287180779946147,True,Simultaneous
X2,X1,0,0.014,0.11286233528121709,True,Simultaneous
X1,X2,0,0.014,0.11286233528121709,True,Simultaneous
X2,X4,1,0.014,0.11266746237885586,True,Lag1
X4,X6,4,0.014,0.11560305007140334,True,Lag4
X1,X1,4,0.032,0.10214294312290954,True,Lag4
X4,X4,1,0.032,0.10300916668901347,True,Lag1
X6,X6,4,0.032,0.1021653862712603,True,Lag4
X6,X1,4,0.036,0.10155080827401276,True,Lag4
X4,X3,4,0.04,0.09966454154907393,True,Lag4
X6,X6,1,0.04,0.10067326132364611,True,Lag1
X1,X4,2,0.042,0.09909245480043764,True,Lag2
X5,X2,3,0.046,0.09785670077531632,True,Lag3
