From,To,Lag,Correlation,Causal,Type
X1,X1,0,0.0,False,Simultaneous
X1,X1,1,0.03661967793406298,False,Lag1
X1,X1,2,0.03779043707076659,False,Lag2
X1,X2,0,0.04580105560279258,False,Simultaneous
X1,X2,1,0.020371318542419994,False,Lag1
X1,X2,2,0.0199444196600609,False,Lag2
X1,X3,0,0.030000091997881645,False,Simultaneous
X1,X3,1,0.02339206720704739,False,Lag1
X1,X3,2,0.029501783531504577,False,Lag2
X1,X4,0,0.027173806399318944,False,Simultaneous
X1,X4,1,0.02408414803613497,False,Lag1
X1,X4,2,0.029992548506521215,False,Lag2
X1,X5,0,0.03714042673464512,False,Simultaneous
X1,X5,1,0.025745738377757336,False,Lag1
X1,X5,2,0.03328214035679171,False,Lag2
X1,X6,0,0.025527530944261433,False,Simultaneous
X1,X6,1,0.026965419396246627,False,Lag1
X1,X6,2,0.02521498624945746,False,Lag2
X2,X1,0,0.04580105560279258,False,Simultaneous
X2,X1,1,0.024707054765543923,False,Lag1
X2,X1,2,0.02714477587353184,False,Lag2
X2,X2,0,0.0,False,Simultaneous
X2,X2,1,0.039563214861682766,False,Lag1
X2,X2,2,0.02688060961887352,False,Lag2
X2,X3,0,0.02536457073251371,False,Simultaneous
X2,X3,1,0.029348101939913284,False,Lag1
X2,X3,2,0.023045031541456668,False,Lag2
X2,X4,0,0.02732331757732915,False,Simultaneous
X2,X4,1,0.025611536023137385,False,Lag1
X2,X4,2,0.020443106342484425,False,Lag2
X2,X5,0,0.027206452095494035,False,Simultaneous
X2,X5,1,0.020689675212650496,False,Lag1
X2,X5,2,0.02492972617379332,False,Lag2
X2,X6,0,0.03733345413980968,False,Simultaneous
X2,X6,1,0.031306735676764105,False,Lag1
X2,X6,2,0.026518112564737503,False,Lag2
X3,X1,0,0.030000091997881645,False,Simultaneous
X3,X1,1,0.037695122909764164,False,Lag1
X3,X1,2,0.02420833187528702,False,Lag2
X3,X2,0,0.02536457073251371,False,Simultaneous
X3,X2,1,0.025226279003691322,False,Lag1
X3,X2,2,0.026199965352510773,False,Lag2
X3,X3,0,0.0,False,Simultaneous
X3,X3,1,0.02201953412854285,False,Lag1
X3,X3,2,0.02311464038606741,False,Lag2
X3,X4,0,0.029264684797891006,False,Simultaneous
X3,X4,1,0.02556981381248096,False,Lag1
X3,X4,2,0.02809675847810539,False,Lag2
X3,X5,0,0.03398801133291838,False,Simultaneous
X3,X5,1,0.023996472836807912,False,Lag1
X3,X5,2,0.028413200413090946,False,Lag2
X3,X6,0,0.03232159121212557,False,Simultaneous
X3,X6,1,0.033783428156877515,False,Lag1
X3,X6,2,0.02299483923609598,False,Lag2
X4,X1,0,0.027173806399318944,False,Simultaneous
X4,X1,1,0.0248679809089342,False,Lag1
X4,X1,2,0.04057373512246969,False,Lag2
X4,X2,0,0.02732331757732915,False,Simultaneous
X4,X2,1,0.030372252634203588,False,Lag1
X4,X2,2,0.03713959838373779,False,Lag2
X4,X3,0,0.029264684797891006,False,Simultaneous
X4,X3,1,0.022629869778145954,False,Lag1
X4,X3,2,0.037400678820653954,False,Lag2
X4,X4,0,0.0,False,Simultaneous
X4,X4,1,0.030023549640396874,False,Lag1
X4,X4,2,0.024130751660567964,False,Lag2
X4,X5,0,0.026328877866615346,False,Simultaneous
X4,X5,1,0.022047190965845485,False,Lag1
X4,X5,2,0.022699322678657676,False,Lag2
X4,X6,0,0.029257450300070927,False,Simultaneous
X4,X6,1,0.021212157204645993,False,Lag1
X4,X6,2,0.021056058128325,False,Lag2
X5,X1,0,0.03714042673464512,False,Simultaneous
X5,X1,1,0.025040896389269186,False,Lag1
X5,X1,2,0.022740737239700614,False,Lag2
X5,X2,0,0.027206452095494035,False,Simultaneous
X5,X2,1,0.024993091115085082,False,Lag1
X5,X2,2,0.04205627562308284,False,Lag2
X5,X3,0,0.03398801133291838,False,Simultaneous
X5,X3,1,0.027294896504706373,False,Lag1
X5,X3,2,0.023040190005076077,False,Lag2
X5,X4,0,0.026328877866615346,False,Simultaneous
X5,X4,1,0.029111358149909422,False,Lag1
X5,X4,2,0.03242209808372254,False,Lag2
X5,X5,0,0.0,False,Simultaneous
X5,X5,1,0.019557728165906223,False,Lag1
X5,X5,2,0.0259852201176473,False,Lag2
X5,X6,0,0.027058515528771254,False,Simultaneous
X5,X6,1,0.03531677352457736,False,Lag1
X5,X6,2,0.032635751075847874,False,Lag2
X6,X1,0,0.025527530944261433,False,Simultaneous
X6,X1,1,0.019928179735497254,False,Lag1
X6,X1,2,0.029171708716707066,False,Lag2
X6,X2,0,0.03733345413980968,False,Simultaneous
X6,X2,1,0.028906787333663923,False,Lag1
X6,X2,2,0.02636519227589904,False,Lag2
X6,X3,0,0.03232159121212557,False,Simultaneous
X6,X3,1,0.02566786308977769,False,Lag1
X6,X3,2,0.027162461062915234,False,Lag2
X6,X4,0,0.029257450300070927,False,Simultaneous
X6,X4,1,0.019385634751273882,False,Lag1
X6,X4,2,0.025246152344799173,False,Lag2
X6,X5,0,0.027058515528771254,False,Simultaneous
X6,X5,1,0.0426352824959234,False,Lag1
X6,X5,2,0.023734737306778567,False,Lag2
X6,X6,0,0.0,False,Simultaneous
X6,X6,1,0.03007367751069539,False,Lag1
X6,X6,2,0.048053924608785555,False,Lag2
