From,To,Lag,P_value,Correlation,Causal,Type
X1,X1,2,0.002,0.09353429945966162,True,Lag2
X6,X5,0,0.012,0.0865651149296352,True,Simultaneous
X5,X6,0,0.012,0.0865651149296352,True,Simultaneous
X6,X6,2,0.014,0.08473587201301501,True,Lag2
X5,X4,3,0.018,0.0819065602302532,True,Lag3
X3,X1,2,0.032,0.07413206532178977,True,Lag2
X3,X1,1,0.042,0.07230006771642324,True,Lag1
X2,X1,0,0.048,0.0705014324578521,True,Simultaneous
X1,X2,0,0.048,0.0705014324578521,True,Simultaneous
X2,X3,3,0.048,0.07098834174220481,True,Lag3
