From,To,Lag,P_value,Correlation,Causal,Type
X1,X1,2,0.008,0.04042528886449017,True,Lag2
X6,X3,2,0.014,0.036741564496097244,True,Lag2
X2,X2,3,0.016,0.0351812360710851,True,Lag3
X4,X5,2,0.024,0.034575096721343346,True,Lag2
X5,X1,2,0.044,0.03238330495886015,True,Lag2
X5,X4,3,0.05,0.0317648029758803,False,Lag3
X2,X5,2,0.05,0.03130542406422532,False,Lag2
X5,X6,1,0.052,0.031139496229196286,False,Lag1
X6,X2,0,0.062,0.030947227985515312,False,Simultaneous
X2,X6,0,0.062,0.030947227985515312,False,Simultaneous
X5,X5,3,0.064,0.030670606963389333,False,Lag3
X4,X5,3,0.074,0.030240306359403158,False,Lag3
X2,X1,0,0.082,0.029864710061931483,False,Simultaneous
X1,X2,0,0.082,0.029864710061931483,False,Simultaneous
X3,X1,2,0.084,0.02930006390235388,False,Lag2
X5,X3,0,0.084,0.029438739028823248,False,Simultaneous
X3,X5,0,0.084,0.029438739028823248,False,Simultaneous
X4,X4,3,0.086,0.02915682446961576,False,Lag3
X4,X3,3,0.092,0.028801764608658686,False,Lag3
X3,X1,3,0.1,0.028487872441959914,False,Lag3
X4,X1,2,0.1,0.028574546995145573,False,Lag2
X2,X4,2,0.1,0.028644454176648102,False,Lag2
X1,X6,2,0.1,0.02852316775793395,False,Lag2
X1,X2,2,0.108,0.027875911123275296,False,Lag2
X6,X6,2,0.112,0.027824142512232225,False,Lag2
X2,X4,3,0.114,0.027758893437195217,False,Lag3
X5,X3,3,0.124,0.027463952851238586,False,Lag3
X2,X3,1,0.136,0.02674379350212805,False,Lag1
X3,X4,2,0.146,0.026325577168061564,False,Lag2
X3,X4,3,0.174,0.025891544915991594,False,Lag3
X6,X1,0,0.186,0.025635180725395904,False,Simultaneous
X4,X3,0,0.186,0.025624036948777282,False,Simultaneous
X3,X4,0,0.186,0.025624036948777282,False,Simultaneous
X1,X6,0,0.186,0.025635180725395904,False,Simultaneous
X1,X4,1,0.208,0.02493972449398967,False,Lag1
X3,X2,0,0.21,0.024776881235805598,False,Simultaneous
X2,X3,0,0.21,0.024776881235805598,False,Simultaneous
X4,X1,0,0.212,0.02473480989060546,False,Simultaneous
X1,X4,0,0.212,0.02473480989060546,False,Simultaneous
X6,X5,0,0.216,0.024685716124662475,False,Simultaneous
X5,X6,0,0.216,0.024685716124662475,False,Simultaneous
X5,X3,2,0.228,0.024559401868926044,False,Lag2
X3,X6,2,0.236,0.02433762629527469,False,Lag2
X2,X2,1,0.256,0.023880422144613542,False,Lag1
X4,X1,1,0.266,0.023729987281514472,False,Lag1
X3,X1,0,0.288,0.023460647940654902,False,Simultaneous
X1,X3,0,0.288,0.023460647940654902,False,Simultaneous
X2,X3,3,0.296,0.023363520917453726,False,Lag3
X6,X3,1,0.302,0.023134569782974387,False,Lag1
X6,X4,3,0.302,0.02315539215824695,False,Lag3
X3,X5,2,0.302,0.023166556000278837,False,Lag2
X2,X1,3,0.306,0.023115105559703062,False,Lag3
X4,X4,1,0.308,0.023085891695059167,False,Lag1
X4,X2,1,0.332,0.022649402118781026,False,Lag1
X4,X1,3,0.338,0.022594732587151646,False,Lag3
X5,X5,2,0.352,0.022332047681463435,False,Lag2
X4,X6,3,0.352,0.02233103514166658,False,Lag3
X5,X4,0,0.354,0.022308194181197425,False,Simultaneous
X4,X5,0,0.354,0.022308194181197425,False,Simultaneous
X6,X1,1,0.376,0.022073517483577807,False,Lag1
X3,X2,3,0.382,0.022010124865608695,False,Lag3
X1,X1,1,0.394,0.021898068469160637,False,Lag1
X4,X2,3,0.404,0.021846430243740632,False,Lag3
X5,X1,0,0.41,0.021786272955487185,False,Simultaneous
X1,X5,0,0.41,0.021786272955487185,False,Simultaneous
X2,X2,2,0.414,0.0217266450962431,False,Lag2
X6,X6,3,0.426,0.021596666016043813,False,Lag3
X6,X1,3,0.43,0.021562126705244385,False,Lag3
X3,X2,1,0.442,0.02143511056787756,False,Lag1
X1,X3,3,0.458,0.021288235588145715,False,Lag3
X1,X4,2,0.458,0.021279499329431836,False,Lag2
X1,X3,1,0.46,0.021250238919863048,False,Lag1
X3,X2,2,0.462,0.021240632099597687,False,Lag2
X1,X2,3,0.468,0.021176102833471384,False,Lag3
X6,X2,3,0.472,0.021038996048789622,False,Lag3
X5,X2,3,0.5,0.020766030133208747,False,Lag3
X5,X1,3,0.502,0.020722210918938996,False,Lag3
X2,X3,2,0.518,0.020541381405735346,False,Lag2
X3,X3,1,0.518,0.020544904471482103,False,Lag1
X6,X2,1,0.53,0.02039701248201442,False,Lag1
X3,X1,1,0.536,0.020283703872767043,False,Lag1
X6,X5,3,0.55,0.02004549906923128,False,Lag3
X1,X5,3,0.552,0.020031129463423315,False,Lag3
X4,X3,1,0.578,0.019848920328938768,False,Lag1
X6,X5,1,0.578,0.01986227660138155,False,Lag1
X1,X4,3,0.58,0.019787239784014546,False,Lag3
X5,X6,2,0.58,0.019824416330719425,False,Lag2
X6,X5,2,0.594,0.019724419515476283,False,Lag2
X3,X6,3,0.596,0.019683421661483638,False,Lag3
X2,X1,1,0.606,0.019607778873775572,False,Lag1
X1,X3,2,0.606,0.01962639802170572,False,Lag2
X4,X2,2,0.626,0.01942360107931368,False,Lag2
X4,X3,2,0.636,0.019286148448234917,False,Lag2
X3,X6,1,0.636,0.019289611483246594,False,Lag1
X6,X3,3,0.638,0.019282026238911516,False,Lag3
X1,X5,1,0.646,0.019141234544372433,False,Lag1
X5,X5,1,0.654,0.019069658436059993,False,Lag1
X5,X2,1,0.694,0.018553258089185762,False,Lag1
X5,X6,3,0.7,0.018499486787362216,False,Lag3
X1,X1,3,0.714,0.018401998199326745,False,Lag3
X1,X6,3,0.726,0.01823561688391982,False,Lag3
X6,X4,0,0.73,0.01820952656260673,False,Simultaneous
X4,X6,0,0.73,0.01820952656260673,False,Simultaneous
X3,X5,3,0.738,0.018090836884810165,False,Lag3
X4,X4,2,0.752,0.01799737783517758,False,Lag2
X6,X4,2,0.766,0.017845148143072028,False,Lag2
X4,X5,1,0.766,0.017885168802834393,False,Lag1
X2,X6,2,0.766,0.017848019099978095,False,Lag2
X6,X3,0,0.782,0.01767510346295799,False,Simultaneous
X3,X6,0,0.782,0.01767510346295799,False,Simultaneous
X2,X5,3,0.784,0.017671274279470676,False,Lag3
X6,X6,1,0.788,0.017618987546849055,False,Lag1
X1,X2,1,0.802,0.017493611938260694,False,Lag1
X2,X4,1,0.81,0.01735606885994028,False,Lag1
X5,X1,1,0.838,0.017083973389589547,False,Lag1
X5,X2,0,0.838,0.017052183215640355,False,Simultaneous
X2,X5,0,0.838,0.017052183215640355,False,Simultaneous
X6,X1,2,0.86,0.016888542081517428,False,Lag2
X5,X4,1,0.86,0.016864248852342233,False,Lag1
X2,X6,3,0.862,0.0168448832420467,False,Lag3
X4,X2,0,0.866,0.016832987767783168,False,Simultaneous
X2,X4,0,0.866,0.016832987767783168,False,Simultaneous
X1,X5,2,0.866,0.016816805243067563,False,Lag2
X1,X6,1,0.866,0.016832747694942342,False,Lag1
X6,X2,2,0.87,0.01678600712344039,False,Lag2
X3,X4,1,0.878,0.016622421321756547,False,Lag1
X2,X1,2,0.88,0.016567200647728993,False,Lag2
X5,X2,2,0.88,0.016591742768464916,False,Lag2
X3,X3,2,0.88,0.016515396230023408,False,Lag2
X5,X3,1,0.88,0.016525885149706408,False,Lag1
X2,X5,1,0.88,0.01653343473082497,False,Lag1
X5,X4,2,0.9,0.016256345955718666,False,Lag2
X3,X3,3,0.912,0.016101588823451318,False,Lag3
X3,X5,1,0.93,0.015790759607990087,False,Lag1
X2,X6,1,0.932,0.01568706536783775,False,Lag1
X4,X6,1,0.948,0.015150265057075517,False,Lag1
X4,X6,2,0.956,0.015129062674918673,False,Lag2
