From,To,Lag,P_value,Correlation,Causal,Type
X2,X1,0,0.0,0.4269490140048704,True,Simultaneous
X2,X1,3,0.0,0.3898174838843333,True,Lag3
X3,X1,0,0.0,0.40740231078666467,True,Simultaneous
X4,X1,0,0.0,0.5075917144546246,True,Simultaneous
X4,X1,1,0.0,0.38163726907629547,True,Lag1
X5,X1,0,0.0,0.6232679514362599,True,Simultaneous
X5,X1,3,0.0,0.4222520505628704,True,Lag3
X6,X1,1,0.0,0.40902128365435875,True,Lag1
X6,X1,2,0.0,0.5283737766019454,True,Lag2
X7,X1,2,0.0,0.4627538492020811,True,Lag2
X1,X2,0,0.0,0.4269490140048704,True,Simultaneous
X3,X2,0,0.0,0.9902817130770043,True,Simultaneous
X4,X2,0,0.0,0.885930031953346,True,Simultaneous
X5,X2,0,0.0,0.7586979643956643,True,Simultaneous
X7,X2,1,0.0,0.4055251149161516,True,Lag1
X1,X3,0,0.0,0.40740231078666467,True,Simultaneous
X2,X3,0,0.0,0.9902817130770043,True,Simultaneous
X4,X3,0,0.0,0.871849268729446,True,Simultaneous
X5,X3,0,0.0,0.7737326174201908,True,Simultaneous
X1,X4,0,0.0,0.5075917144546246,True,Simultaneous
X2,X4,0,0.0,0.885930031953346,True,Simultaneous
X2,X4,2,0.0,0.47566092842326196,True,Lag2
X3,X4,0,0.0,0.871849268729446,True,Simultaneous
X4,X4,2,0.0,0.4193263818289282,True,Lag2
X5,X4,0,0.0,0.9542662518980082,True,Simultaneous
X7,X4,2,0.0,0.4281347218853795,True,Lag2
X1,X5,0,0.0,0.6232679514362599,True,Simultaneous
X2,X5,0,0.0,0.7586979643956643,True,Simultaneous
X3,X5,0,0.0,0.7737326174201908,True,Simultaneous
X4,X5,0,0.0,0.9542662518980082,True,Simultaneous
X7,X5,2,0.0,0.4466139774859466,True,Lag2
X7,X6,0,0.0,0.41656150487235794,True,Simultaneous
X6,X7,0,0.0,0.41656150487235794,True,Simultaneous
X6,X5,0,0.004,0.3755778947282841,True,Simultaneous
X5,X6,0,0.004,0.3755778947282841,True,Simultaneous
X4,X1,3,0.006,0.36363433562982533,True,Lag3
X7,X3,2,0.006,0.3657854285557722,True,Lag2
X3,X1,1,0.01,0.3598818092007253,True,Lag1
X1,X4,1,0.01,0.35526637697394997,True,Lag1
X4,X5,1,0.01,0.35616930912111877,True,Lag1
X3,X7,2,0.01,0.35208870101126266,True,Lag2
X2,X1,2,0.014,0.34122046573838055,True,Lag2
X7,X1,0,0.014,0.34248009280238423,True,Simultaneous
X1,X6,3,0.014,0.34349039491027805,True,Lag3
X1,X7,0,0.014,0.34248009280238423,True,Simultaneous
X2,X7,2,0.014,0.3440367953350641,True,Lag2
X3,X1,3,0.018,0.32646614354558784,True,Lag3
X1,X3,2,0.018,0.33442717720441334,True,Lag2
X6,X3,3,0.018,0.33100340974848874,True,Lag3
X1,X4,2,0.018,0.33118401255603935,True,Lag2
X1,X5,2,0.018,0.32728032675771035,True,Lag2
X6,X6,3,0.018,0.3276448312670391,True,Lag3
X5,X1,1,0.02,0.3165907296369537,True,Lag1
X5,X4,2,0.022,0.3130672312740786,True,Lag2
X2,X1,1,0.024,0.3115488333944394,True,Lag1
X6,X2,0,0.024,0.31222228356075055,True,Simultaneous
X2,X6,0,0.024,0.31222228356075055,True,Simultaneous
X5,X5,1,0.026,0.3088130083296235,True,Lag1
X3,X1,2,0.032,0.29966630299864633,True,Lag2
X6,X4,0,0.032,0.3002693441685548,True,Simultaneous
X4,X6,0,0.032,0.3002693441685548,True,Simultaneous
X5,X6,3,0.032,0.30314411508352795,True,Lag3
X7,X7,1,0.032,0.3033527435915195,True,Lag1
X2,X3,3,0.034,0.2960910168593991,True,Lag3
X1,X6,2,0.034,0.29762726452902,True,Lag2
X1,X7,1,0.034,0.2957365080684314,True,Lag1
X6,X4,1,0.038,0.293996501122779,True,Lag1
X7,X5,0,0.038,0.2938674351060067,True,Simultaneous
X5,X7,0,0.038,0.2938674351060067,True,Simultaneous
X5,X7,3,0.04,0.2933044695250026,True,Lag3
X1,X1,3,0.044,0.2898741945427125,True,Lag3
X4,X1,2,0.044,0.291929747949257,True,Lag2
X7,X2,2,0.046,0.28953244717576115,True,Lag2
X1,X4,3,0.046,0.28933104263413056,True,Lag3
X5,X4,1,0.046,0.2879831396266682,True,Lag1
X1,X5,3,0.046,0.2893750119330323,True,Lag3
X2,X6,3,0.046,0.28815177162234773,True,Lag3
X5,X7,1,0.046,0.28791525745674706,True,Lag1
X7,X3,0,0.05,0.2857964382625745,False,Simultaneous
X2,X4,1,0.05,0.28586927412083174,False,Lag1
X3,X4,2,0.05,0.2835916528658819,False,Lag2
X7,X4,3,0.05,0.2848166102908167,False,Lag3
X3,X7,0,0.05,0.2857964382625745,False,Simultaneous
X4,X7,2,0.05,0.2834949779464349,False,Lag2
X4,X4,1,0.054,0.28161899583625755,False,Lag1
X7,X4,0,0.056,0.2812133444258053,False,Simultaneous
X4,X7,0,0.056,0.2812133444258053,False,Simultaneous
X3,X7,1,0.058,0.27852504842436504,False,Lag1
X6,X7,1,0.062,0.27611776172385827,False,Lag1
X7,X1,1,0.068,0.27288688067435823,False,Lag1
X3,X6,3,0.07,0.271637506365082,False,Lag3
X7,X2,0,0.074,0.2688939131812071,False,Simultaneous
X2,X5,3,0.074,0.2690732193345382,False,Lag3
X5,X5,2,0.074,0.2685202971859825,False,Lag2
X2,X7,0,0.074,0.2688939131812071,False,Simultaneous
X3,X7,3,0.074,0.2681267499059028,False,Lag3
X5,X7,2,0.074,0.2694057158693601,False,Lag2
X6,X2,3,0.076,0.26751264584874623,False,Lag3
X6,X3,0,0.076,0.267822465035093,False,Simultaneous
X3,X6,0,0.076,0.267822465035093,False,Simultaneous
X7,X6,3,0.076,0.26671982887099555,False,Lag3
X6,X4,3,0.084,0.26436342602557095,False,Lag3
X2,X5,2,0.086,0.26403158859200226,False,Lag2
X2,X7,1,0.086,0.2638370203228641,False,Lag1
X5,X4,3,0.088,0.26346764714346355,False,Lag3
X2,X2,3,0.09,0.2625912765663979,False,Lag3
X7,X3,3,0.09,0.26118642141535564,False,Lag3
X1,X7,2,0.09,0.26079333789330605,False,Lag2
X4,X7,3,0.09,0.26139667970609065,False,Lag3
X3,X5,2,0.094,0.2581347849776771,False,Lag2
X7,X7,3,0.094,0.26025126755735983,False,Lag3
X4,X2,1,0.1,0.25644769420123575,False,Lag1
X1,X3,1,0.1,0.25671680591864593,False,Lag1
X1,X2,3,0.102,0.25523114094345023,False,Lag3
X3,X4,1,0.102,0.2553838100821672,False,Lag1
X4,X7,1,0.106,0.25427863467029543,False,Lag1
X3,X5,1,0.124,0.2503834239798931,False,Lag1
X7,X5,1,0.134,0.24923751676948414,False,Lag1
X4,X3,3,0.15,0.24671231908602667,False,Lag3
X1,X7,3,0.15,0.24740050549326334,False,Lag3
X6,X7,3,0.152,0.2454691927647371,False,Lag3
X3,X2,2,0.156,0.2448639211402591,False,Lag2
X3,X2,3,0.16,0.2419912677927991,False,Lag3
X4,X5,2,0.16,0.2426823569145271,False,Lag2
X5,X6,2,0.164,0.24129388539746893,False,Lag2
X6,X6,2,0.168,0.2399446214263971,False,Lag2
X1,X2,2,0.172,0.2386856308942791,False,Lag2
X6,X2,2,0.176,0.23773445846912944,False,Lag2
X6,X5,2,0.176,0.23805874020264026,False,Lag2
X6,X3,1,0.18,0.23675455164726203,False,Lag1
X6,X5,1,0.18,0.2368883696037277,False,Lag1
X5,X3,2,0.182,0.2339904648447094,False,Lag2
X3,X4,3,0.194,0.23110877161619622,False,Lag3
X5,X5,3,0.196,0.23021673359891445,False,Lag3
X5,X2,2,0.198,0.23003378799589544,False,Lag2
X7,X6,2,0.2,0.22987434587842492,False,Lag2
X2,X7,3,0.202,0.2297414768261571,False,Lag3
X5,X1,2,0.204,0.22850472633710786,False,Lag2
X1,X2,1,0.218,0.2267247071453894,False,Lag1
X5,X2,1,0.218,0.2265690622179161,False,Lag1
X2,X2,2,0.226,0.22472431114422292,False,Lag2
X5,X3,1,0.23,0.22414351955821904,False,Lag1
X4,X6,2,0.238,0.22208290516114357,False,Lag2
X7,X5,3,0.252,0.22013543339862957,False,Lag3
X2,X6,2,0.252,0.2202058265323529,False,Lag2
X3,X5,3,0.262,0.21799980729156315,False,Lag3
X4,X2,2,0.27,0.21589823754231205,False,Lag2
X4,X5,3,0.274,0.2152189506266967,False,Lag3
X7,X4,1,0.276,0.21435035826889715,False,Lag1
X1,X5,1,0.276,0.2148806549226061,False,Lag1
X2,X5,1,0.276,0.21469649300967775,False,Lag1
X6,X5,3,0.316,0.21002014861715693,False,Lag3
X7,X6,1,0.318,0.20907797120046673,False,Lag1
X4,X6,3,0.33,0.20747252663082458,False,Lag3
X6,X1,0,0.342,0.20644254619554786,False,Simultaneous
X1,X6,0,0.342,0.20644254619554786,False,Simultaneous
X6,X7,2,0.344,0.20594106921917804,False,Lag2
X5,X2,3,0.35,0.20469330274293565,False,Lag3
X4,X2,3,0.354,0.20423284009091733,False,Lag3
X3,X6,2,0.364,0.20291188202958108,False,Lag2
X6,X6,1,0.364,0.203292856622801,False,Lag1
X5,X6,1,0.374,0.20099847941482227,False,Lag1
X4,X3,2,0.38,0.2004037563362829,False,Lag2
X6,X3,2,0.38,0.20028136588797493,False,Lag2
X4,X6,1,0.404,0.19783811846761726,False,Lag1
X2,X2,1,0.406,0.19757427816114678,False,Lag1
X2,X6,1,0.416,0.19660834464030255,False,Lag1
X6,X1,3,0.42,0.19644591268991457,False,Lag3
X3,X2,1,0.424,0.1961000031659196,False,Lag1
X3,X3,2,0.424,0.19594954557497896,False,Lag2
X1,X6,1,0.43,0.19496310539008463,False,Lag1
X3,X3,3,0.458,0.19268719348683092,False,Lag3
X2,X4,3,0.46,0.19246797760592402,False,Lag3
X1,X1,1,0.468,0.192022771916316,False,Lag1
X4,X4,3,0.492,0.1902983981981684,False,Lag3
X3,X3,1,0.516,0.1881185530764358,False,Lag1
X3,X6,1,0.53,0.18702776085817702,False,Lag1
X7,X1,3,0.564,0.18377695747457934,False,Lag3
X2,X3,2,0.612,0.17968787740861092,False,Lag2
X6,X2,1,0.656,0.17623485842009193,False,Lag1
X1,X3,3,0.662,0.17562147624512175,False,Lag3
X7,X3,1,0.674,0.1743670147759924,False,Lag1
X7,X7,2,0.678,0.17390340379243258,False,Lag2
X4,X3,1,0.708,0.17122172441589428,False,Lag1
X1,X1,2,0.752,0.16675237151533662,False,Lag2
X6,X4,2,0.766,0.16508002470391134,False,Lag2
X7,X2,3,0.782,0.1640144263933018,False,Lag3
X2,X3,1,0.83,0.15830093602033155,False,Lag1
X5,X3,3,0.832,0.15795203788966028,False,Lag3
X1,X1,0,1.0,0.0,False,Simultaneous
X2,X2,0,1.0,0.0,False,Simultaneous
X3,X3,0,1.0,0.0,False,Simultaneous
X4,X4,0,1.0,0.0,False,Simultaneous
