From,To,Lag,P_value,Value,Causal,Type,Edge_Type
X2,X5,1,0.02822857978208298,4.82813381300063,True,Lag1,Lagged
X4,X2,1,0.035333743503900276,4.44106884975207,True,Lag1,Lagged
X2,X4,1,0.050242872851184894,3.8426527367609347,False,Lag1,Lagged
X2,X5,2,0.08350701362774157,2.489042889250524,False,Lag2,Lagged
X4,X2,2,0.09640400612269047,2.3447266502160677,False,Lag2,Lagged
X4,X3,2,0.12685201737737162,2.0690332258977704,False,Lag2,Lagged
X5,X4,2,0.1321760197643045,2.027750278393706,False,Lag2,Lagged
X2,X4,2,0.13736820594009994,1.9890639799310323,False,Lag2,Lagged
X1,X3,2,0.15463354188720305,1.8702107314137237,False,Lag2,Lagged
X1,X3,1,0.18298110018057404,1.7757154497525052,False,Lag1,Lagged
X1,X4,2,0.19677587763316293,1.6283542801613449,False,Lag2,Lagged
X2,X3,1,0.20986315538165828,1.5744025478464678,False,Lag1,Lagged
X1,X4,1,0.2645976399757453,1.2459447465445124,False,Lag1,Lagged
X4,X3,1,0.28858664364502484,1.1274062962072369,False,Lag1,Lagged
X4,X1,2,0.3033316459882898,1.194362789538156,False,Lag2,Lagged
X2,X3,2,0.3371508384978566,1.0884161167837854,False,Lag2,Lagged
X5,X6,1,0.38358995731711976,0.7598358745694854,False,Lag1,Lagged
X4,X1,1,0.3841257529156834,0.7581249675614588,False,Lag1,Lagged
X5,X1,1,0.4433985077538275,0.5879400282866607,False,Lag1,Lagged
X1,X6,1,0.4507844909328472,0.5691266624020481,False,Lag1,Lagged
X3,X4,2,0.4743570033614888,0.7463554808975341,False,Lag2,Lagged
X6,X1,1,0.6001925397231633,0.2748814617249876,False,Lag1,Lagged
X3,X4,1,0.6014301161098341,0.2730187528392773,False,Lag1,Lagged
X6,X2,1,0.6339193225281305,0.22692297530484712,False,Lag1,Lagged
X5,X6,2,0.6339774380702363,0.45595114067512604,False,Lag2,Lagged
X5,X3,2,0.6399810920478162,0.4465173096313278,False,Lag2,Lagged
X1,X5,2,0.6432669416306454,0.44139157433157006,False,Lag2,Lagged
X2,X1,2,0.6857594845224231,0.3773716590197902,False,Lag2,Lagged
X6,X1,2,0.7127331430898062,0.3387637192961857,False,Lag2,Lagged
X1,X5,1,0.7161637095537495,0.13227332394882768,False,Lag1,Lagged
X5,X2,1,0.7211275077766801,0.12748708894869618,False,Lag1,Lagged
X3,X1,2,0.7230881850665549,0.32432997856074564,False,Lag2,Lagged
X6,X3,2,0.7261524992491908,0.3200983730905289,False,Lag2,Lagged
X4,X6,1,0.7313404319235939,0.11795059551455818,False,Lag1,Lagged
X6,X4,2,0.7318284419504116,0.3123073436806825,False,Lag2,Lagged
X4,X5,2,0.7336846805169668,0.3097725285363305,False,Lag2,Lagged
X3,X5,2,0.7337990871363627,0.3096165091187278,False,Lag2,Lagged
X5,X1,2,0.7351294475678949,0.30780404793192534,False,Lag2,Lagged
X6,X3,1,0.7381766060180448,0.11179812181714958,False,Lag1,Lagged
X5,X4,1,0.7396428172914461,0.1105024123750779,False,Lag1,Lagged
X1,X6,2,0.7440749191835906,0.2957015722551652,False,Lag2,Lagged
X6,X5,1,0.7652521461023805,0.08920533801868594,False,Lag1,Lagged
X3,X2,1,0.7726333168720801,0.08352719575835875,False,Lag1,Lagged
X3,X6,1,0.7773992352444344,0.07996822405440322,False,Lag1,Lagged
X2,X6,2,0.7852981654604386,0.2417506409664936,False,Lag2,Lagged
X1,X2,2,0.8185137767841422,0.20030544480965332,False,Lag2,Lagged
X3,X1,1,0.8305695258189234,0.045807711913633246,False,Lag1,Lagged
X5,X3,1,0.8463288173141079,0.03757982566034157,False,Lag1,Lagged
X4,X5,1,0.8574610764285651,0.03227541035391362,False,Lag1,Lagged
X6,X2,2,0.8715120281616151,0.13754466081934857,False,Lag2,Lagged
X3,X2,2,0.8939571969591692,0.11211003843312126,False,Lag2,Lagged
X6,X4,1,0.9125614614423163,0.012063975773109695,False,Lag1,Lagged
X6,X5,2,0.9185416279139548,0.08497532460565932,False,Lag2,Lagged
X1,X2,1,0.9199138756543733,0.010113862821461378,False,Lag1,Lagged
X2,X6,1,0.9211695205609096,0.009798174166566236,False,Lag1,Lagged
X2,X1,1,0.9276093404739012,0.008258459350522678,False,Lag1,Lagged
X5,X2,2,0.9315372024773763,0.07092421671279289,False,Lag2,Lagged
X4,X6,2,0.937627416324795,0.06440679674274788,False,Lag2,Lagged
X3,X6,2,0.9492404264443697,0.05209589823345238,False,Lag2,Lagged
