From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Restricted_MSE,Full_MSE
X1,X4,1,0.03225806451612903,0.00017917618220014697,True,Lag1,Lagged,0.010190206122948126,0.010011029940747979
X5,X1,2,0.03225806451612903,0.00016787350186875383,True,Lag2,Lagged,0.010886677478915733,0.010718803977046979
X6,X4,1,0.03225806451612903,9.527020609134337e-05,True,Lag1,Lagged,0.01015069722003367,0.010055427013942327
X3,X1,2,0.03225806451612903,9.513486704213273e-05,True,Lag2,Lagged,0.010845320152795072,0.01075018528575294
X5,X2,2,0.03225806451612903,2.290017099327961e-05,True,Lag2,Lagged,0.010004493844114087,0.009981593673120808
X2,X5,1,0.06451612903225806,0.000190566298740159,False,Lag1,Lagged,0.009844886467421682,0.009654320168681523
X6,X2,1,0.06451612903225806,6.960203379716492e-05,False,Lag1,Lagged,0.010220967352904684,0.010151365319107519
X2,X5,3,0.06451612903225806,4.2993175823779e-05,False,Lag3,Lagged,0.009692392372873546,0.009649399197049767
X3,X6,2,0.0967741935483871,0.00022666029794552248,False,Lag2,Lagged,0.010398912442262473,0.01017225214431695
X3,X1,3,0.0967741935483871,0.00015882708195547914,False,Lag3,Lagged,0.011008525381077501,0.010849698299122022
X2,X4,1,0.0967741935483871,0.00012930784117645873,False,Lag1,Lagged,0.010253399510852893,0.010124091669676434
X5,X6,2,0.0967741935483871,9.798493316560963e-05,False,Lag2,Lagged,0.010243124912320383,0.010145139979154774
X1,X1,3,0.0967741935483871,8.856630562605744e-05,False,Lag3,Lagged,0.010900895185385893,0.010812328879759836
X6,X1,3,0.0967741935483871,5.724676535800652e-05,False,Lag3,Lagged,0.010818412175626993,0.010761165410268987
X1,X5,2,0.0967741935483871,4.625170269178559e-05,False,Lag2,Lagged,0.009726369392605358,0.009680117689913573
X5,X4,3,0.12903225806451613,0.00020572079275323757,False,Lag3,Lagged,0.010294575034854743,0.010088854242101505
X1,X1,2,0.12903225806451613,8.035303380968771e-05,False,Lag2,Lagged,0.010854898802500818,0.01077454576869113
X4,X4,2,0.12903225806451613,7.98713275514916e-05,False,Lag2,Lagged,0.0101887424693704,0.01010887114181891
X1,X2,1,0.12903225806451613,4.608797835584967e-05,False,Lag1,Lagged,0.010143804974606223,0.010097716996250374
X1,X3,2,0.12903225806451613,1.2912163859075954e-05,False,Lag2,Lagged,0.010837512290543848,0.010824600126684772
X1,X5,3,0.16129032258064516,9.834544093377355e-05,False,Lag3,Lagged,0.009813208803176099,0.009714863362242325
X3,X2,3,0.16129032258064516,6.711602575329954e-05,False,Lag3,Lagged,0.010168571549470413,0.010101455523717114
X2,X4,2,0.16129032258064516,6.702145486414159e-05,False,Lag2,Lagged,0.010165454199876842,0.0100984327450127
X3,X4,2,0.16129032258064516,2.604186357937563e-05,False,Lag2,Lagged,0.010120372929652425,0.01009433106607305
X4,X4,3,0.1935483870967742,4.683730140734449e-05,False,Lag3,Lagged,0.010179608418159186,0.010132771116751841
X5,X5,3,0.1935483870967742,3.9502512642073176e-05,False,Lag3,Lagged,0.009699445660474777,0.009659943147832703
X4,X1,2,0.22580645161290322,7.403631215579382e-05,False,Lag2,Lagged,0.010929089061059492,0.010855052748903698
X1,X6,3,0.22580645161290322,3.903456164223475e-05,False,Lag3,Lagged,0.010224205846659864,0.010185171285017629
X5,X1,1,0.22580645161290322,3.008550657320093e-05,False,Lag1,Lagged,0.010852152351954449,0.010822066845381248
X6,X4,2,0.2903225806451613,9.915401653082939e-05,False,Lag2,Lagged,0.010199541545767793,0.010100387529236964
X2,X4,3,0.2903225806451613,4.8203393253606897e-05,False,Lag3,Lagged,0.010196871636144864,0.010148668242891257
X3,X3,1,0.2903225806451613,4.1257342132878724e-05,False,Lag1,Lagged,0.010844078582270556,0.010802821240137678
X4,X6,2,0.2903225806451613,1.9051586620145652e-05,False,Lag2,Lagged,0.010192255699162515,0.01017320411254237
X6,X3,2,0.3548387096774194,0.00011299678171379328,False,Lag2,Lagged,0.010968998030305167,0.010856001248591374
X2,X6,1,0.41935483870967744,4.111217403625009e-05,False,Lag1,Lagged,0.010262423304135985,0.010221311130099735
X4,X5,3,0.41935483870967744,6.313975718092238e-06,False,Lag3,Lagged,0.00977579759762352,0.009769483621905427
X2,X6,2,0.45161290322580644,5.6813342591069405e-05,False,Lag2,Lagged,0.010254284775764582,0.010197471433173512
X1,X4,2,0.4838709677419355,5.774739380448243e-05,False,Lag2,Lagged,0.010210169863692107,0.010152422469887625
X2,X1,2,0.4838709677419355,2.4096244372480077e-05,False,Lag2,Lagged,0.010899525769074414,0.010875429524701934
X2,X5,2,0.4838709677419355,2.346692427358278e-05,False,Lag2,Lagged,0.009860174210836398,0.009836707286562815
X6,X1,2,0.4838709677419355,1.3926763814651327e-05,False,Lag2,Lagged,0.010878735506779974,0.010864808742965323
X4,X5,1,0.5161290322580645,4.767652721788043e-05,False,Lag1,Lagged,0.009848695185409666,0.009801018658191786
X1,X4,3,0.5806451612903226,0.00013641788001949283,False,Lag3,Lagged,0.010296429514657306,0.010160011634637813
X6,X3,1,0.5806451612903226,3.0170798815587832e-05,False,Lag1,Lagged,0.010918821312763923,0.010888650513948335
X4,X4,1,0.6129032258064516,9.160093740789507e-05,False,Lag1,Lagged,0.010296175258090361,0.010204574320682466
X4,X3,2,0.6129032258064516,3.6812394519062167e-05,False,Lag2,Lagged,0.010894417081434857,0.010857604686915795
X2,X2,3,0.6774193548387096,1.0350744612280804e-05,False,Lag3,Lagged,0.010140936421117559,0.010130585676505278
X1,X3,3,0.7096774193548387,6.0997873500388475e-05,False,Lag3,Lagged,0.010950146693965357,0.010889148820464968
X4,X1,3,0.7096774193548387,5.048883653394065e-06,False,Lag3,Lagged,0.010909701406198492,0.010904652522545098
X3,X4,3,0.7419354838709677,4.0152471990219374e-05,False,Lag3,Lagged,0.010242249421351301,0.010202096949361082
X2,X3,3,0.7419354838709677,2.3689321968207652e-05,False,Lag3,Lagged,0.010937588347173711,0.010913899025205504
X2,X2,2,0.8064516129032258,3.0139610299051087e-05,False,Lag2,Lagged,0.010206891821645947,0.010176752211346896
X5,X2,3,1.0,-1.4233007055858282e-06,False,Lag3,Lagged,0.010148715784795356,0.010150139085500942
X5,X3,2,1.0,-2.0253244871291237e-06,False,Lag2,Lagged,0.010850542841604657,0.010852568166091786
X6,X3,3,1.0,-2.3371585599375744e-06,False,Lag3,Lagged,0.010834096186719948,0.010836433345279886
X2,X6,3,1.0,-5.993819049482027e-06,False,Lag3,Lagged,0.010178825844425124,0.010184819663474606
X5,X6,1,1.0,-6.6387073408176456e-06,False,Lag1,Lagged,0.01024607183100648,0.010252710538347297
X3,X6,3,1.0,-1.0497658973132942e-05,False,Lag3,Lagged,0.010248862239778033,0.010259359898751166
X6,X5,1,1.0,-1.0817999323351271e-05,False,Lag1,Lagged,0.009848344666681523,0.009859162666004874
X3,X4,1,1.0,-1.1127234329107866e-05,False,Lag1,Lagged,0.010186233677065884,0.010197360911394992
X6,X1,1,1.0,-1.1145987562587861e-05,False,Lag1,Lagged,0.010924983598165279,0.010936129585727867
X3,X2,2,1.0,-1.1801561710130318e-05,False,Lag2,Lagged,0.010131083578043452,0.010142885139753583
X1,X2,3,1.0,-1.2852976441973113e-05,False,Lag3,Lagged,0.010091762398414283,0.010104615374856256
X1,X3,1,1.0,-1.3827491523189447e-05,False,Lag1,Lagged,0.01084469953115312,0.01085852702267631
X2,X3,2,1.0,-1.4306962175259993e-05,False,Lag2,Lagged,0.010842218356075671,0.010856525318250931
X4,X2,3,1.0,-1.7252834266238276e-05,False,Lag3,Lagged,0.010096454825050121,0.01011370765931636
X6,X5,3,1.0,-1.78019673343615e-05,False,Lag3,Lagged,0.009807157657383284,0.009824959624717645
X1,X2,2,1.0,-1.8982400876679795e-05,False,Lag2,Lagged,0.010073332759480925,0.010092315160357605
X2,X1,3,1.0,-1.9509499483738243e-05,False,Lag3,Lagged,0.010870268814432107,0.010889778313915846
