From,To,Lag,P_value,Value,Causal,Type,Edge_Type,Graph
X1,X1,0,0.0,0.0,True,Simultaneous,Simultaneous,
X2,X2,0,0.0,0.0,True,Simultaneous,Simultaneous,
X3,X3,0,0.0,0.0,True,Simultaneous,Simultaneous,
X4,X4,0,0.0,0.0,True,Simultaneous,Simultaneous,
X5,X5,0,0.0,0.0,True,Simultaneous,Simultaneous,
X6,X6,0,0.0,0.0,True,Simultaneous,Simultaneous,
X5,X4,1,0.003992015968063872,0.05125775059038684,True,Lag1,Lagged,<->
X6,X5,2,0.017964071856287425,0.04025749323405492,True,Lag2,Lagged,o->
X1,X6,3,0.08183632734530938,0.03226373027149121,False,Lag3,Lagged,o->
X2,X6,2,0.08582834331337326,0.03105220613202153,False,Lag2,Lagged,o->
X1,X5,3,0.12574850299401197,0.021490277627929988,False,Lag3,Lagged,o->
X4,X1,3,0.17165668662674652,0.016900525502092645,False,Lag3,Lagged,o->
X3,X4,2,0.17764471057884232,0.018786087358615866,False,Lag2,Lagged,<->
X2,X1,2,0.20159680638722555,0.02461765409226535,False,Lag2,Lagged,
X6,X1,3,0.21756487025948104,0.023288509123888357,False,Lag3,Lagged,
X2,X3,3,0.21956087824351297,0.024442488514524907,False,Lag3,Lagged,
X2,X1,3,0.25149700598802394,0.022424031316473414,False,Lag3,Lagged,
X1,X4,3,0.26147704590818366,0.016316227386572013,False,Lag3,Lagged,
X6,X4,0,0.29740518962075846,0.013081992484534677,False,Simultaneous,Simultaneous,
X3,X6,3,0.29740518962075846,0.021726928090820774,False,Lag3,Lagged,
X4,X6,0,0.29740518962075846,0.013081992484534677,False,Simultaneous,Simultaneous,
X1,X5,1,0.3013972055888224,0.010913248887161053,False,Lag1,Lagged,
X2,X2,3,0.30538922155688625,0.019878528871736467,False,Lag3,Lagged,
X6,X6,2,0.31137724550898205,0.01510431693418468,False,Lag2,Lagged,
X3,X4,1,0.3153692614770459,0.010841083303327004,False,Lag1,Lagged,
X4,X6,3,0.33532934131736525,0.018963595186136217,False,Lag3,Lagged,
X5,X1,1,0.3393213572854291,0.019823610488062915,False,Lag1,Lagged,
X4,X3,2,0.3473053892215569,0.01701680063407318,False,Lag2,Lagged,
X2,X1,0,0.35728542914171657,0.019096568252918278,False,Simultaneous,Simultaneous,
X1,X2,0,0.35728542914171657,0.019096568252918278,False,Simultaneous,Simultaneous,
X6,X5,0,0.3772455089820359,0.018772800518011667,False,Simultaneous,Simultaneous,
X5,X6,0,0.3772455089820359,0.018772800518011667,False,Simultaneous,Simultaneous,
X1,X2,3,0.3812375249500998,0.017313520667757043,False,Lag3,Lagged,
X6,X5,3,0.38323353293413176,0.017146968022839548,False,Lag3,Lagged,
X3,X5,3,0.3872255489021956,0.01802750421391064,False,Lag3,Lagged,
X4,X3,3,0.3992015968063872,0.017653948991708024,False,Lag3,Lagged,
X4,X1,2,0.41317365269461076,0.017676649267353906,False,Lag2,Lagged,
X3,X2,0,0.42115768463073855,0.017935921674924415,False,Simultaneous,Simultaneous,
X2,X3,0,0.42115768463073855,0.017935921674924415,False,Simultaneous,Simultaneous,
X5,X5,1,0.43313373253493015,0.01666622308347776,False,Lag1,Lagged,
X2,X6,1,0.43313373253493015,0.014010715207707136,False,Lag1,Lagged,
X2,X4,2,0.437125748502994,0.016365482368306594,False,Lag2,Lagged,
X6,X1,0,0.44510978043912175,0.015649682312025792,False,Simultaneous,Simultaneous,
X1,X6,0,0.44510978043912175,0.015649682312025792,False,Simultaneous,Simultaneous,
X6,X3,3,0.47105788423153694,0.01526336444751486,False,Lag3,Lagged,
X6,X2,1,0.47305389221556887,0.017135118727634957,False,Lag1,Lagged,
X3,X3,3,0.4810379241516966,0.013997575383049465,False,Lag3,Lagged,
X3,X5,2,0.49700598802395207,0.014885509108083728,False,Lag2,Lagged,
X5,X1,3,0.499001996007984,0.01428091279966015,False,Lag3,Lagged,
X1,X5,2,0.499001996007984,0.013693352717909502,False,Lag2,Lagged,
X3,X6,1,0.499001996007984,0.013600274946695912,False,Lag1,Lagged,
X4,X2,2,0.500998003992016,0.014544492354825689,False,Lag2,Lagged,
X3,X1,2,0.5029940119760479,0.014309483357165309,False,Lag2,Lagged,
X5,X3,3,0.5029940119760479,0.014309207072186414,False,Lag3,Lagged,
X5,X2,1,0.5049900199600799,0.013089095856996025,False,Lag1,Lagged,
X2,X5,1,0.5069860279441117,0.014683970327352913,False,Lag1,Lagged,
X1,X1,2,0.5289421157684631,0.013412659905346125,False,Lag2,Lagged,
X3,X4,3,0.5329341317365269,0.013010129878047394,False,Lag3,Lagged,
X4,X5,1,0.5349301397205589,0.009642238491077926,False,Lag1,Lagged,
X2,X1,1,0.5449101796407185,0.01286846760055882,False,Lag1,Lagged,
X2,X4,3,0.5469061876247505,0.011267400378714765,False,Lag3,Lagged,
X3,X5,1,0.5489021956087824,0.012514047682513407,False,Lag1,Lagged,
X2,X2,1,0.564870259481038,0.012125023704384397,False,Lag1,Lagged,
X4,X5,2,0.5728542914171657,0.01193404493226069,False,Lag2,Lagged,
X2,X2,2,0.5748502994011976,0.011996653454022344,False,Lag2,Lagged,
X5,X3,0,0.6107784431137725,0.011285413263719235,False,Simultaneous,Simultaneous,
X3,X5,0,0.6107784431137725,0.011285413263719235,False,Simultaneous,Simultaneous,
X1,X2,2,0.6127744510978044,0.0049072270019689945,False,Lag2,Lagged,
X2,X3,2,0.6147704590818364,0.011536239977851359,False,Lag2,Lagged,
X3,X1,3,0.6167664670658682,0.010658901289502865,False,Lag3,Lagged,
X5,X5,2,0.6167664670658682,0.010998253260344093,False,Lag2,Lagged,
X4,X4,3,0.624750499001996,0.010904742994276795,False,Lag3,Lagged,
X5,X4,2,0.6287425149700598,0.010889134045954929,False,Lag2,Lagged,
X6,X1,1,0.6327345309381237,0.009924476301655716,False,Lag1,Lagged,
X4,X2,0,0.6407185628742516,0.010387268934556992,False,Simultaneous,Simultaneous,
X2,X4,0,0.6407185628742516,0.010387268934556992,False,Simultaneous,Simultaneous,
X6,X2,0,0.6467065868263473,0.010220379763748344,False,Simultaneous,Simultaneous,
X1,X3,1,0.6467065868263473,0.00989404052719367,False,Lag1,Lagged,
X2,X6,0,0.6467065868263473,0.010220379763748344,False,Simultaneous,Simultaneous,
X6,X3,0,0.6487025948103793,0.010900810916500081,False,Simultaneous,Simultaneous,
X3,X6,0,0.6487025948103793,0.010900810916500081,False,Simultaneous,Simultaneous,
X5,X4,3,0.654690618762475,0.010253658593686321,False,Lag3,Lagged,
X6,X1,2,0.6626746506986028,0.008710334023708466,False,Lag2,Lagged,
X3,X2,2,0.6686626746506986,0.006595273933455381,False,Lag2,Lagged,
X6,X6,3,0.6706586826347305,0.008008976506344023,False,Lag3,Lagged,
X6,X6,1,0.6726546906187625,0.007485333525704796,False,Lag1,Lagged,
X1,X1,1,0.6806387225548902,0.0048932965953873975,False,Lag1,Lagged,
X6,X3,1,0.6826347305389222,0.008947671227691245,False,Lag1,Lagged,
X1,X1,3,0.6846307385229541,0.007581498641109352,False,Lag3,Lagged,
X1,X3,3,0.6906187624750499,0.009580551450579122,False,Lag3,Lagged,
X5,X6,3,0.6926147704590818,0.008377407346965793,False,Lag3,Lagged,
X5,X5,3,0.6986027944111777,0.008106869119068438,False,Lag3,Lagged,
X4,X1,0,0.7045908183632734,0.0017788892562493608,False,Simultaneous,Simultaneous,
X4,X1,1,0.7045908183632734,0.00723047351159023,False,Lag1,Lagged,
X1,X4,0,0.7045908183632734,0.0017788892562493608,False,Simultaneous,Simultaneous,
X4,X5,3,0.7065868263473054,0.008118020849136265,False,Lag3,Lagged,
X5,X2,0,0.7105788423153693,0.0050387422249551506,False,Simultaneous,Simultaneous,
X2,X5,0,0.7105788423153693,0.0050387422249551506,False,Simultaneous,Simultaneous,
X3,X6,2,0.7105788423153693,0.007339091087996685,False,Lag2,Lagged,
X1,X2,1,0.720558882235529,0.005284799926139172,False,Lag1,Lagged,
X3,X3,2,0.720558882235529,0.008083365230563633,False,Lag2,Lagged,
X1,X4,1,0.7285429141716567,0.007775343810826563,False,Lag1,Lagged,
X4,X6,1,0.7285429141716567,0.007712056828082847,False,Lag1,Lagged,
X3,X2,1,0.7365269461077845,0.007820207920668398,False,Lag1,Lagged,
X4,X2,3,0.7365269461077845,0.007989360639580667,False,Lag3,Lagged,
X2,X5,3,0.7445109780439122,0.005988812027723611,False,Lag3,Lagged,
X5,X3,1,0.7524950099800399,0.005107458728615288,False,Lag1,Lagged,
X5,X3,2,0.7644710578842315,0.00413747274127596,False,Lag2,Lagged,
X5,X1,2,0.7784431137724551,0.004852736243513345,False,Lag2,Lagged,
X4,X3,0,0.782435129740519,0.006562768719946099,False,Simultaneous,Simultaneous,
X3,X4,0,0.782435129740519,0.006562768719946099,False,Simultaneous,Simultaneous,
X3,X2,3,0.7884231536926147,0.003703902911453838,False,Lag3,Lagged,
X1,X6,1,0.7884231536926147,0.004508466153024582,False,Lag1,Lagged,
X5,X1,0,0.7904191616766467,0.002871085748833657,False,Simultaneous,Simultaneous,
X1,X5,0,0.7904191616766467,0.002871085748833657,False,Simultaneous,Simultaneous,
X3,X3,1,0.7924151696606786,0.004518460112873601,False,Lag1,Lagged,
X5,X6,2,0.8223552894211577,0.004072364503503234,False,Lag2,Lagged,
X6,X5,1,0.8263473053892215,-0.0007256174368350798,False,Lag1,Lagged,
X4,X4,1,0.8383233532934131,0.0029406088260230945,False,Lag1,Lagged,
X5,X4,0,0.846307385229541,0.0020336497630628614,False,Simultaneous,Simultaneous,
X4,X5,0,0.846307385229541,0.0020336497630628614,False,Simultaneous,Simultaneous,
X6,X2,2,0.8582834331337326,0.0009557565263489387,False,Lag2,Lagged,
X4,X3,1,0.8702594810379242,0.0013117317891486735,False,Lag1,Lagged,
X1,X6,2,0.872255489021956,0.001142610191456228,False,Lag2,Lagged,
X2,X6,3,0.8762475049900199,0.0011098728648235578,False,Lag3,Lagged,
X6,X4,1,0.8782435129740519,0.00024851951232696123,False,Lag1,Lagged,
X4,X6,2,0.8882235528942116,0.0003533232767689576,False,Lag2,Lagged,
X5,X6,1,0.8942115768463074,-3.876158110660555e-05,False,Lag1,Lagged,
X4,X4,2,0.8982035928143712,-0.001655556047244655,False,Lag2,Lagged,
X2,X5,2,0.9021956087824351,-0.0012427371461369852,False,Lag2,Lagged,
X4,X2,1,0.906187624750499,-0.0015647829828608906,False,Lag1,Lagged,
X2,X4,1,0.9281437125748503,-0.0030996269814611566,False,Lag1,Lagged,
X6,X4,3,0.9281437125748503,-0.005180631016659554,False,Lag3,Lagged,
X1,X3,2,0.9301397205588823,-0.0034087538318892108,False,Lag2,Lagged,
X6,X2,3,0.9321357285429142,-0.00521990550858753,False,Lag3,Lagged,
X2,X3,1,0.93812375249501,-0.004255693701346708,False,Lag1,Lagged,
X3,X1,0,0.9600798403193613,-0.005821111107060517,False,Simultaneous,Simultaneous,
X1,X3,0,0.9600798403193613,-0.005821111107060517,False,Simultaneous,Simultaneous,
X6,X4,2,0.9600798403193613,-0.0070368104371456575,False,Lag2,Lagged,
X3,X1,1,0.9740518962075848,-0.008844774031774527,False,Lag1,Lagged,
X6,X3,2,0.9740518962075848,-0.008413166785973925,False,Lag2,Lagged,
X5,X2,3,0.9760479041916168,-0.00648795806455249,False,Lag3,Lagged,
X5,X2,2,0.9800399201596807,-0.008485435203339442,False,Lag2,Lagged,
X1,X4,2,0.9800399201596807,-0.00996595652065313,False,Lag2,Lagged,
