From,To,Lag,P_value,Value,Causal,Type,Edge_Type
X6,X6,2,,1.0,True,Lag2,Lagged
X1,X1,0,,0.0,False,Simultaneous,None
X1,X2,0,,0.0,False,Simultaneous,None
X1,X3,0,,0.0,False,Simultaneous,None
X1,X4,0,,0.0,False,Simultaneous,None
X1,X5,0,,0.0,False,Simultaneous,None
X1,X6,0,,0.0,False,Simultaneous,None
X2,X1,0,,0.0,False,Simultaneous,None
X2,X2,0,,0.0,False,Simultaneous,None
X2,X3,0,,0.0,False,Simultaneous,None
X2,X4,0,,0.0,False,Simultaneous,None
X2,X5,0,,0.0,False,Simultaneous,None
X2,X6,0,,0.0,False,Simultaneous,None
X3,X1,0,,0.0,False,Simultaneous,None
X3,X2,0,,0.0,False,Simultaneous,None
X3,X3,0,,0.0,False,Simultaneous,None
X3,X4,0,,0.0,False,Simultaneous,None
X3,X5,0,,0.0,False,Simultaneous,None
X3,X6,0,,0.0,False,Simultaneous,None
X4,X1,0,,0.0,False,Simultaneous,None
X4,X2,0,,0.0,False,Simultaneous,None
X4,X3,0,,0.0,False,Simultaneous,None
X4,X4,0,,0.0,False,Simultaneous,None
X4,X5,0,,0.0,False,Simultaneous,None
X4,X6,0,,0.0,False,Simultaneous,None
X5,X1,0,,0.0,False,Simultaneous,None
X5,X2,0,,0.0,False,Simultaneous,None
X5,X3,0,,0.0,False,Simultaneous,None
X5,X4,0,,0.0,False,Simultaneous,None
X5,X5,0,,0.0,False,Simultaneous,None
X5,X6,0,,0.0,False,Simultaneous,None
X6,X1,0,,0.0,False,Simultaneous,None
X6,X2,0,,0.0,False,Simultaneous,None
X6,X3,0,,0.0,False,Simultaneous,None
X6,X4,0,,0.0,False,Simultaneous,None
X6,X5,0,,0.0,False,Simultaneous,None
X6,X6,0,,0.0,False,Simultaneous,None
X1,X1,1,,0.0,False,Lag1,None
X1,X2,1,,0.0,False,Lag1,None
X1,X3,1,,0.0,False,Lag1,None
X1,X4,1,,0.0,False,Lag1,None
X1,X5,1,,0.0,False,Lag1,None
X1,X6,1,,0.0,False,Lag1,None
X2,X1,1,,0.0,False,Lag1,None
X2,X2,1,,0.0,False,Lag1,None
X2,X3,1,,0.0,False,Lag1,None
X2,X4,1,,0.0,False,Lag1,None
X2,X5,1,,0.0,False,Lag1,None
X2,X6,1,,0.0,False,Lag1,None
X3,X1,1,,0.0,False,Lag1,None
X3,X2,1,,0.0,False,Lag1,None
X3,X3,1,,0.0,False,Lag1,None
X3,X4,1,,0.0,False,Lag1,None
X3,X5,1,,0.0,False,Lag1,None
X3,X6,1,,0.0,False,Lag1,None
X4,X1,1,,0.0,False,Lag1,None
X4,X2,1,,0.0,False,Lag1,None
X4,X3,1,,0.0,False,Lag1,None
X4,X4,1,,0.0,False,Lag1,None
X4,X5,1,,0.0,False,Lag1,None
X4,X6,1,,0.0,False,Lag1,None
X5,X1,1,,0.0,False,Lag1,None
X5,X2,1,,0.0,False,Lag1,None
X5,X3,1,,0.0,False,Lag1,None
X5,X4,1,,0.0,False,Lag1,None
X5,X5,1,,0.0,False,Lag1,None
X5,X6,1,,0.0,False,Lag1,None
X6,X1,1,,0.0,False,Lag1,None
X6,X2,1,,0.0,False,Lag1,None
X6,X3,1,,0.0,False,Lag1,None
X6,X4,1,,0.0,False,Lag1,None
X6,X5,1,,0.0,False,Lag1,None
X6,X6,1,,0.0,False,Lag1,None
X1,X1,2,,0.0,False,Lag2,None
X1,X2,2,,0.0,False,Lag2,None
X1,X3,2,,0.0,False,Lag2,None
X1,X4,2,,0.0,False,Lag2,None
X1,X5,2,,0.0,False,Lag2,None
X1,X6,2,,0.0,False,Lag2,None
X2,X1,2,,0.0,False,Lag2,None
X2,X2,2,,0.0,False,Lag2,None
X2,X3,2,,0.0,False,Lag2,None
X2,X4,2,,0.0,False,Lag2,None
X2,X5,2,,0.0,False,Lag2,None
X2,X6,2,,0.0,False,Lag2,None
X3,X1,2,,0.0,False,Lag2,None
X3,X2,2,,0.0,False,Lag2,None
X3,X3,2,,0.0,False,Lag2,None
X3,X4,2,,0.0,False,Lag2,None
X3,X5,2,,0.0,False,Lag2,None
X3,X6,2,,0.0,False,Lag2,None
X4,X1,2,,0.0,False,Lag2,None
X4,X2,2,,0.0,False,Lag2,None
X4,X3,2,,0.0,False,Lag2,None
X4,X4,2,,0.0,False,Lag2,None
X4,X5,2,,0.0,False,Lag2,None
X4,X6,2,,0.0,False,Lag2,None
X5,X1,2,,0.0,False,Lag2,None
X5,X2,2,,0.0,False,Lag2,None
X5,X3,2,,0.0,False,Lag2,None
X5,X4,2,,0.0,False,Lag2,None
X5,X5,2,,0.0,False,Lag2,None
X5,X6,2,,0.0,False,Lag2,None
X6,X1,2,,0.0,False,Lag2,None
X6,X2,2,,0.0,False,Lag2,None
X6,X3,2,,0.0,False,Lag2,None
X6,X4,2,,0.0,False,Lag2,None
X6,X5,2,,0.0,False,Lag2,None
